departamento_id,avg_yield,cv_yield,avg_volatility,failure_rate,cluster,stability_profile
14028,2406.2,31.07987841999678,894.75,20.0,1,High Stability / High Performance
14035,2798.095238095238,22.256780648835424,626.1,52.38095238095239,2,Medium Stability / Structural Underperformance
14042,2642.8571428571427,26.672297658456433,672.25,38.095238095238095,1,High Stability / High Performance
14049,2424.809523809524,37.18854749025188,676.95,42.857142857142854,0,Low Stability / High Risk
14056,2478.285714285714,22.07056935381297,652.95,47.61904761904761,2,Medium Stability / Structural Underperformance
14063,3372.733333333333,13.799958851085306,386.07142857142856,26.666666666666668,1,High Stability / High Performance
14077,2233.0,31.860061317412818,538.6842105263158,40.0,2,Medium Stability / Structural Underperformance
14084,2948.904761904762,19.00701254430056,617.4,47.61904761904761,1,High Stability / High Performance
14098,2359.8571428571427,22.308570934388193,616.95,42.857142857142854,1,High Stability / High Performance
14105,2783.3333333333335,24.60050749444383,653.45,47.61904761904761,1,High Stability / High Performance
14112,2537.095238095238,32.35701832446355,567.65,38.095238095238095,1,High Stability / High Performance
14119,2671.5714285714284,27.761676305824817,656.15,52.38095238095239,2,Medium Stability / Structural Underperformance
14126,2202.9444444444443,39.698727851427115,777.9411764705883,44.44444444444444,0,Low Stability / High Risk
14133,2751.45,28.89411817280981,581.3157894736842,30.0,1,High Stability / High Performance
14140,2851.7619047619046,22.25600189830212,608.55,47.61904761904761,1,High Stability / High Performance
14147,2538.3333333333335,23.3459502388557,682.6,66.66666666666666,2,Medium Stability / Structural Underperformance
14154,2016.5384615384614,32.18772657907843,481.3333333333333,46.15384615384615,2,Medium Stability / Structural Underperformance
14161,2766.0,21.76884427376711,643.2,47.61904761904761,1,High Stability / High Performance
14168,2790.285714285714,23.874985749116995,560.75,42.857142857142854,1,High Stability / High Performance
14175,2449.190476190476,35.37204844169151,573.0,33.33333333333333,1,High Stability / High Performance
14182,3227.5,17.37993265546207,584.0526315789474,40.0,1,High Stability / High Performance
18000,1726.5,20.514873640015495,269.22222222222223,30.0,2,Medium Stability / Structural Underperformance
18007,1221.2,38.993078369123964,648.25,60.0,0,Low Stability / High Risk
18014,2325.0,23.655913978494624,366.6666666666667,25.0,1,High Stability / High Performance
18028,1991.6666666666667,36.84194862396318,760.0,50.0,0,Low Stability / High Risk
18035,1760.090909090909,36.238655344861705,677.3,54.54545454545454,0,Low Stability / High Risk
18042,1223.2,62.43524059800072,787.25,40.0,0,Low Stability / High Risk
18049,1884.1818181818182,32.08360719288195,605.0,63.63636363636363,2,Medium Stability / Structural Underperformance
18056,1376.5,25.16947254898476,462.6666666666667,50.0,2,Medium Stability / Structural Underperformance
18070,1964.6666666666667,37.26044910786112,687.4,50.0,0,Low Stability / High Risk
18084,1346.4,20.66238194910925,312.75,40.0,2,Medium Stability / Structural Underperformance
18105,1954.909090909091,35.505696684313634,448.0,54.54545454545454,2,Medium Stability / Structural Underperformance
18112,1327.0,26.362719942116502,445.6666666666667,50.0,2,Medium Stability / Structural Underperformance
18119,1569.5,23.53972005447278,481.3333333333333,50.0,2,Medium Stability / Structural Underperformance
18126,1754.4545454545455,47.551819473297094,736.9,54.54545454545454,0,Low Stability / High Risk
18154,1942.857142857143,52.22486536948121,850.0,42.857142857142854,0,Low Stability / High Risk
18161,1837.8181818181818,35.89388153480417,628.1,63.63636363636363,0,Low Stability / High Risk
18168,1670.75,22.098314974110753,504.3333333333333,25.0,1,High Stability / High Performance
18175,1965.3636363636363,32.92740012307364,717.9,45.45454545454545,0,Low Stability / High Risk
22007,2095.095238095238,37.58552744441735,767.85,42.857142857142854,0,Low Stability / High Risk
22014,1825.5,27.405553075179267,596.5454545454545,33.33333333333333,1,High Stability / High Performance
22021,1613.857142857143,42.87866848888827,671.8,52.38095238095239,0,Low Stability / High Risk
22028,2048.6190476190477,30.699110309097406,734.55,47.61904761904761,0,Low Stability / High Risk
22036,2105.5714285714284,30.869773016905683,733.9,42.857142857142854,0,Low Stability / High Risk
22039,2016.904761904762,33.95432121191595,782.5,42.857142857142854,0,Low Stability / High Risk
22043,1861.1904761904761,31.381789475042616,655.25,42.857142857142854,0,Low Stability / High Risk
22049,2135.809523809524,32.66854470566864,800.05,47.61904761904761,0,Low Stability / High Risk
